City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
276,Lavrentiya,RU,65.5833,-171.0,41.92,84,100,17.72,light rain
277,Kieta,PG,-6.2167,155.6333,83.66,70,9,3.09,clear sky
278,Bonavista,CA,48.6499,-53.1147,64.11,79,64,18.9,broken clouds
279,Awjilah,LY,29.1081,21.2869,83.61,30,2,10.67,clear sky
280,Kysyl-Syr,RU,63.8986,122.7617,74.93,44,96,7.49,overcast clouds
281,Samarai,PG,-10.6167,150.6667,78.6,62,88,8.25,overcast clouds
282,Muisne,EC,0.6,-80.0333,76.01,83,71,10.11,broken clouds
283,Waingapu,ID,-9.6567,120.2641,79.86,69,35,11.7,scattered clouds
284,Bethlehem,BR,-1.4558,-48.5044,78.39,77,81,5.7,broken clouds
285,Labytnangi,RU,66.6572,66.4183,55.65,96,100,3.74,overcast clouds
286,Puerto Narino,CO,-3.7703,-70.3831,75.15,68,74,1.14,broken clouds
287,Vila,PT,42.0304,-8.1588,55.74,94,100,1.03,overcast clouds
288,Champerico,GT,14.3,-91.9167,86.36,80,88,9.17,overcast clouds
289,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,95,90,7.78,overcast clouds
290,Am Timan,TD,11.0297,20.2827,71.22,95,90,2.35,overcast clouds
291,Rtishchevo,RU,52.2604,43.7874,69.28,68,40,4.36,scattered clouds
292,Bosaso,SO,11.2842,49.1816,88.9,42,79,18.75,broken clouds
293,Merrill,US,45.1805,-89.6835,69.98,55,1,8.05,clear sky
294,Ahipara,NZ,-35.1667,173.1667,57.69,70,67,9.31,broken clouds
295,Hovd,MN,48.0056,91.6419,57.54,58,4,1.39,clear sky
296,Voi,KE,-3.3945,38.563,65.17,82,45,9.53,scattered clouds
297,Santa Cruz De La Palma,ES,28.6835,-17.7642,72.14,73,75,17.27,broken clouds
298,Bonfim,BR,3.0833,-59.95,74.03,95,92,1.19,overcast clouds
299,Morehead,US,37.2711,-87.1764,80.11,68,1,4.61,clear sky
300,Bodden Town,KY,19.2833,-81.25,85.93,82,28,1.01,scattered clouds
301,Hasaki,JP,35.7333,140.8333,86.29,81,9,9.24,clear sky
302,Vanimo,PG,-2.6741,141.3028,83.61,70,25,4.88,scattered clouds
303,Trincomalee,LK,8.5711,81.2335,81.09,74,100,20.09,overcast clouds
304,Auki,SB,-8.7676,160.7034,83.43,69,93,8.08,overcast clouds
305,Nome,US,64.5011,-165.4064,55.17,94,90,10.36,mist
306,Namibe,AO,-15.1961,12.1522,67.62,86,61,1.72,broken clouds
307,Mandalgovi,MN,45.7625,106.2708,66.09,36,94,16.26,overcast clouds
308,Umba,RU,66.6871,34.3429,51.06,95,62,10.6,broken clouds
309,Contamana,PE,-7.3333,-75.0167,71.64,65,74,2.17,broken clouds
310,Gizo,SB,-8.103,156.8419,80.85,80,49,11.61,moderate rain
311,Abonnema,NG,4.7084,6.7931,75.83,85,99,5.32,overcast clouds
312,Craig,US,40.5153,-107.5464,74.39,46,75,4.61,broken clouds
313,Adrar,MR,20.5022,-10.0711,92.21,29,30,7.07,scattered clouds
314,Ixtapa,MX,20.7,-105.2,89.22,70,40,6.91,scattered clouds
315,Abrau-Dyurso,RU,44.69,37.59,67.46,64,0,7.96,clear sky
316,Vestmannaeyjar,IS,63.4427,-20.2734,53.82,90,86,5.21,overcast clouds
317,Karratha,AU,-20.7377,116.8463,61.86,49,0,15.1,clear sky
318,Planeta Rica,CO,8.4147,-75.5883,79.86,89,74,9.82,broken clouds
319,Tibu,CO,8.639,-72.7358,80.17,74,45,2.68,scattered clouds
320,Delijan,IR,33.9905,50.6838,80.28,19,77,7.18,broken clouds
321,Eyl,SO,7.9803,49.8164,80.53,67,48,29.53,scattered clouds
322,Ystad,SE,55.4297,13.8204,57.97,82,60,11.97,broken clouds
323,Yulara,AU,-25.2406,130.9889,55.24,44,0,13.8,clear sky
324,Necochea,AR,-38.5473,-58.7368,40.03,75,2,9.19,clear sky
325,Solnechnyy,RU,50.7214,136.6319,65.86,71,99,3.53,overcast clouds
326,Katsuura,JP,35.1333,140.3,86.14,76,11,7.29,few clouds
327,Cidreira,BR,-30.1811,-50.2056,56.75,93,83,8.1,broken clouds
328,Deputatskiy,RU,69.3,139.9,48.27,60,8,6.2,clear sky
329,Erenhot,CN,43.6475,111.9767,67.19,49,22,10.51,few clouds
330,Gedo,ET,9.0167,37.45,50.74,97,99,2.39,overcast clouds
331,Vilhena,BR,-12.7406,-60.1458,69.93,37,0,3.36,clear sky
332,Camana,PE,-16.6228,-72.7111,63.19,81,26,8.52,scattered clouds
333,Punta Alta,AR,-38.8759,-62.0736,48.45,50,5,10.47,clear sky
334,Perth,AU,-31.9333,115.8333,51.06,91,75,4.61,broken clouds
335,Port Hedland,AU,-20.3167,118.5667,66.25,37,0,16.11,clear sky
336,Lompoc,US,34.6391,-120.4579,88.12,63,1,13.8,clear sky
337,Yerbogachen,RU,61.2767,108.0108,65.84,55,100,7.34,overcast clouds
338,Waipawa,NZ,-41.4122,175.5153,54.23,61,82,2.66,broken clouds
339,Morganton,US,35.7454,-81.6848,84.06,62,1,3.0,clear sky
340,Tezu,IN,27.9167,96.1667,77.18,85,22,2.26,few clouds
341,Gap,FR,44.6667,6.0,40.84,79,89,6.33,overcast clouds
342,Roma,US,43.2128,-75.4557,63.9,93,90,0.0,overcast clouds
343,Suntar,RU,62.1444,117.6319,70.65,45,100,8.68,overcast clouds
344,Taybad,IR,34.74,60.7756,75.34,16,0,17.6,clear sky
345,Uni,RU,57.7535,51.4923,59.14,80,79,6.29,broken clouds
